"","CombinationLabel","Sub","Category","Avg_V4_dis_L2","Avg_V2_dis_L2","Avg_V1_dis_L2","Avg_IT_dis_L2","Avg_V4_dis_Cosine","Avg_V2_dis_Cosine","Avg_V1_dis_Cosine","Avg_IT_dis_Cosine","Avg_CHOICERIGHT","Avg_Accuracy","Avg_PWDis","Avg_SL_Dis","Avg_SP_Dis","Avg_AE_Dis","Avg_AR_Dis","Avg_Sym_Dis","Avg_Symbol_Dis","Avg_FSymbol_Dis","Avg_HU_Dis"
"713","quad6-quad6-quad7","gaga","IRREG",-2.14463395652175,-1.00720923478261,-1.10252478260869,-5.04423893043478,-0.0185582962608696,-0.0011314775652173,-0.00140111086956519,-0.0353349180869565,0.869565217391304,0.130434782608696,-0.00132981882735209,0,0,0,0,0,0,0,27.3363804483237
"714","quad6-quad6-quad7","rihanna","IRREG",-2.08663000000001,-0.948406000000006,-1.01889,-4.979179,-0.0178547600000001,-0.000589609999999907,-0.00104804999999997,-0.0345502,0.278688524590164,0.721311475409836,-0.00120253626505069,0,0,0,0,0,0,0,27.8167205967092
"715","quad6-quad7-quad6","Kalamata","IRREG",2.08663000000001,0.948406000000006,1.01889,4.97917900000001,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.483050847457627,0.483050847457627,0.00120253626505068,0,0,0,0,0,0,0,27.8167205967093
"716","quad6-quad7-quad6","Olivella","IRREG",2.08663,0.948406000000006,1.01889,4.97917899999999,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.447368421052632,0.447368421052632,0.00120253626505069,0,0,0,0,0,0,0,27.8167205967092
"717","quad6-quad7-quad6","Pico","IRREG",2.08663,0.948406000000006,1.01889,4.97917899999999,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.464285714285714,0.464285714285714,0.00120253626505069,0,0,0,0,0,0,0,27.8167205967092
"718","quad6-quad7-quad6","Sabina","IRREG",2.08663,0.948406000000006,1.01889,4.97917899999999,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.666666666666667,0.666666666666667,0.00120253626505069,0,0,0,0,0,0,0,27.8167205967092
"719","quad6-quad7-quad6","beyonce","IRREG",2.08663000000001,0.948406000000006,1.01889,4.97917900000001,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.606382978723404,0.606382978723404,0.00120253626505069,0,0,0,0,0,0,0,27.8167205967093
"720","quad6-quad7-quad6","gaga","IRREG",2.08663,0.948406000000006,1.01889,4.97917899999999,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.946808510638298,0.946808510638298,0.00120253626505069,0,0,0,0,0,0,0,27.8167205967092
"721","quad6-quad7-quad6","rihanna","IRREG",2.08663000000001,0.948406000000006,1.01889,4.97917899999999,0.0178547600000001,0.000589609999999907,0.00104804999999997,0.0345502,0.182608695652174,0.182608695652174,0.00120253626505069,0,0,0,0,0,0,0,27.8167205967092
"722","quad7-quad1-quad7","Kalamata","IRREG",7.85596899999999,7.51403500000003,11.450154,16.703316,0.0799967099999998,0.0415035599999999,0.0349044699999999,0.1846027,0.87719298245614,0.87719298245614,0.00653516906100303,5,2,6,4,7,17,24,28.5054231791127
